	1	1	0.000000000000000E+000
	2	1	0.000000000000000E+000
	3	1	0.000000000000000E+000
	4	1	0.000000000000000E+000
	5	1	0.000000000000000E+000
	1	2	0.000000000000000E+000
	2	2	0.000000000000000E+000
	3	2	0.000000000000000E+000
	4	2	0.000000000000000E+000
	5	2	0.000000000000000E+000
	1	4	0.000000000000000E+000
	2	4	0.000000000000000E+000
	3	4	0.000000000000000E+000
	4	4	0.000000000000000E+000
	5	4	0.000000000000000E+000
	1	8	0.000000000000000E+000
	2	8	0.000000000000000E+000
	3	8	0.000000000000000E+000
	4	8	0.000000000000000E+000
	5	8	0.000000000000000E+000
	1	16	0.000000000000000E+000
	2	16	0.000000000000000E+000
	3	16	0.000000000000000E+000
	4	16	0.000000000000000E+000
	5	16	0.000000000000000E+000
	1	32	0.000000000000000E+000
	2	32	0.000000000000000E+000
	3	32	0.000000000000000E+000
	4	32	0.000000000000000E+000
	5	32	0.000000000000000E+000
	1	64	1.562500000000000E-002
	2	64	0.000000000000000E+000
	3	64	0.000000000000000E+000
	4	64	1.562500000000000E-002
	5	64	0.000000000000000E+000
	1	128	3.125000000000000E-002
	2	128	3.125000000000000E-002
	3	128	3.125000000000000E-002
	4	128	3.125000000000000E-002
	5	128	3.125000000000000E-002
	1	256	0.359375000000000
	2	256	0.296875000000000
	3	256	0.281250000000000
	4	256	0.281250000000000
	5	256	0.171875000000000
	1	512	2.70312500000000
	2	512	2.76562500000000
	3	512	2.67187500000000
	4	512	2.64062500000000
	5	512	1.42187500000000
	1	1024	39.8281250000000
	2	1024	40.0156250000000
	3	1024	39.3750000000000
	4	1024	40.3906250000000
	5	1024	11.3281250000000
